Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High TP', 'High CN'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['Normal Stress', 'High CN'] --> ['High PostTest']"
"['Moderate Stress', 'High CP'] --> ['High PostTest']"
"['High CRF', 'Low ESF'] --> ['High PostTest']"
"['Mild Depression', 'High ESF'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['High TN', 'Moderate PreTest'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate Stress'] --> ['High PostTest']"
"['Low CN', 'Low TP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Mild Depression', 'Low ESF'] --> ['High PostTest']"
"['Severe Anxiety', 'Low ESF'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Stress', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['Mild Stress', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Normal Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate Stress'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate PreTest'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Mild Anxiety', 'Moderate CN'] --> ['High PostTest']"
"['High TP', 'Positive Delta', 'Mild Anxiety', 'Moderate CN'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Mild Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Negative Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate CN', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Mild Depression', 'Positive Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate Anxiety', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate CN', 'Moderate PreTest'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate CN', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate CN', 'Moderate PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CN', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'Moderate CN', 'Moderate PreTest', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate CN', 'Severe Anxiety', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Moderate ESF'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'Normal Stress', 'Moderate PreTest'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Negative Delta', 'Severe Anxiety'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['High TP', 'Moderate CRF', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['High TP', 'Negative Delta', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['High TP', 'Normal Depression', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['High TP', 'Normal Stress', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['High TP', 'Moderate PreTest', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['High TP', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Negative Delta', 'Mild Anxiety'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Mild Anxiety', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Negative Delta', 'Mild Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'Moderate CP', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'Positive Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate CP', 'Moderate Anxiety', 'Moderate PreTest'] --> ['High PostTest']"
"['Low CN', 'Moderate CP', 'Moderate Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'Moderate Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate CRF', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Normal Depression', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'Mild Anxiety', 'Low TN'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Mild Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Negative Delta', 'Mild Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate ESF', 'Mild Depression', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'Low TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'Low TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Mild Depression', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Low TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CP', 'Low TN', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Low TN', 'Moderate ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate TP', 'Low TN', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Stress', 'Low TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CRF', 'Negative Delta', 'Mild Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'Negative Delta', 'Mild Anxiety', 'Normal Stress'] --> ['High PostTest']"
"['Mild Depression', 'Moderate CRF', 'Moderate CN', 'Normal Anxiety'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'Moderate CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CN', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CP', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate CRF', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Depression', 'Moderate PreTest', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Depression', 'Moderate PreTest', 'Moderate TN'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate TP', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate Anxiety', 'Normal Stress', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Positive Delta', 'Moderate CN', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Positive Delta', 'Moderate CN', 'Normal Stress'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CRF', 'Moderate TP', 'Severe Anxiety'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate CRF', 'Moderate TP', 'Positive Delta'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate CRF', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'Severe Anxiety', 'Moderate TN'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate TP', 'Positive Delta', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Positive Delta', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate TP', 'Positive Delta', 'Normal Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate TP', 'Positive Delta', 'Normal Stress'] --> ['High PostTest']"
